"","Date","WSPD","WDIR"
"1",2022-01-01 00:15:00,5.78948629142377,NA
"2",2022-01-01 01:15:00,6.08249248046239,NA
"3",2022-01-01 02:15:00,6.39486608166436,NA
"4",2022-01-01 03:15:00,6.6171006760172,NA
"5",2022-01-01 04:15:00,6.68380158543857,185.40356245058
"6",2022-01-01 05:15:00,6.63600258364674,195.746199779542
"7",2022-01-01 06:15:00,6.58846612701868,200.121995440028
"8",2022-01-01 07:15:00,6.62770225962999,203.083634660532
"9",2022-01-01 08:15:00,6.7353395752008,207.133987456791
"10",2022-01-01 09:15:00,6.8097234204721,212.97073837
"11",2022-01-01 10:15:00,6.76556114032554,219.323829116763
"12",2022-01-01 11:15:00,6.61698165597855,224.537101810076
"13",2022-01-01 12:15:00,6.4659353189316,227.785961875251
"14",2022-01-01 13:15:00,6.40910538857168,229.473393958087
"15",2022-01-01 14:15:00,6.45349439322431,230.862943675695
"16",2022-01-01 15:15:00,6.51952995790904,233.079851156773
"17",2022-01-01 16:15:00,6.52398287756847,236.266536291302
"18",2022-01-01 17:15:00,6.45925103070054,239.762629951655
"19",2022-01-01 18:15:00,6.39388618137876,242.990754724818
"20",2022-01-01 19:15:00,6.40032213201213,246.018364635178
"21",2022-01-01 20:15:00,6.48686513299203,249.316897952344
"22",2022-01-01 21:15:00,6.60175859165052,253.05783528951
"23",2022-01-01 22:15:00,6.69955480951158,256.726679005221
"24",2022-01-01 23:15:00,6.79494046350503,259.488604677913
"25",2022-01-02 00:15:00,6.94348138422103,260.954611071857
"26",2022-01-02 01:15:00,7.16745490217365,261.613193926367
"27",2022-01-02 02:15:00,7.40642503995055,262.469120549712
"28",2022-01-02 03:15:00,7.55150830570282,264.166062597749
"29",2022-01-02 04:15:00,7.53795150994436,266.428496661592
"30",2022-01-02 05:15:00,7.40744117178923,268.384954410849
"31",2022-01-02 06:15:00,7.27539642991825,269.453601823496
"32",2022-01-02 07:15:00,7.22898070073232,269.932008202187
"33",2022-01-02 08:15:00,7.25046555371737,270.71229339639
"34",2022-01-02 09:15:00,7.2388220729469,272.380029367973
"35",2022-01-02 10:15:00,7.10935958567796,274.570727125545
"36",2022-01-02 11:15:00,6.87677912547041,276.21182011442
"37",2022-01-02 12:15:00,6.64356764311088,276.434832907925
"38",2022-01-02 13:15:00,6.50690437712031,275.320135304388
"39",2022-01-02 14:15:00,6.47424270046395,273.774418898489
"40",2022-01-02 15:15:00,6.46641207584766,272.700916475323
"41",2022-01-02 16:15:00,6.40053293855263,272.296235932414
"42",2022-01-02 17:15:00,6.26929813344663,272.096515604334
"43",2022-01-02 18:15:00,6.14149797638277,271.630854465044
"44",2022-01-02 19:15:00,6.08974741502238,270.957376844552
"45",2022-01-02 20:15:00,6.12247619838437,270.522729860929
"46",2022-01-02 21:15:00,6.18799409105357,270.526094726074
"47",2022-01-02 22:15:00,6.24086384498586,270.506370470525
"48",2022-01-02 23:15:00,6.29572861941842,269.650934666396
"49",2022-01-03 00:15:00,6.40805936784976,267.56725844409
"50",2022-01-03 01:15:00,6.5999904206439,264.740200394157
"51",2022-01-03 02:15:00,6.81089849084372,262.180884359216
"52",2022-01-03 03:15:00,6.93167280126197,260.562758551151
"53",2022-01-03 04:15:00,6.89729769113344,100.353998397485
"54",2022-01-03 05:15:00,6.74916719932962,101.428771313349
"55",2022-01-03 06:15:00,6.60238346548277,103.245181855655
"56",2022-01-03 07:15:00,6.54377411426991,105.496298035933
"57",2022-01-03 08:15:00,6.55526201282964,107.247202135546
"58",2022-01-03 09:15:00,6.53546258871231,107.85702272695
"59",2022-01-03 10:15:00,6.39932850749108,107.688753204331
"60",2022-01-03 11:15:00,6.16120899599096,107.858859957862
"61",2022-01-03 12:15:00,5.923249744681,109.269824415121
"62",2022-01-03 13:15:00,5.78230472403667,111.862895121553
"63",2022-01-03 14:15:00,5.74552315820683,114.712988806439
"64",2022-01-03 15:15:00,5.73345621950611,116.831038783505
"65",2022-01-03 16:15:00,5.66297619962581,117.95869560478
"66",2022-01-03 17:15:00,5.52656172728725,118.59754266634
"67",2022-01-03 18:15:00,5.39282605276039,119.28457470544
"68",2022-01-03 19:15:00,5.33424683216891,119.963660936213
"69",2022-01-03 20:15:00,5.35915828701288,120.128690607499
"70",2022-01-03 21:15:00,5.41581774966224,119.560992321362
"71",2022-01-03 22:15:00,5.45877929148505,118.812070238774
"72",2022-01-03 23:15:00,5.50272111709923,118.824888029002
